Appl_No,Appl_Type,Ingredient,Dosage,Form,Route,Trade_Name,Applicant,Strength,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Submission_Date
203093,N,ELVITEGRAVIR,,,ORAL,VITEKTA,GILEAD SCIENCES INC,85MG,2,7635704,2026-10-26,Y,Y,U-257,2014-10-17
201699,N,FIDAXOMICIN,,,ORAL,DIFICID,CUBIST PHARMS LLC,200MG,1,8859510,2027-07-31,,,U-319,2014-11-05
50819,N,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,,,TOPICAL,ACANYA,BAUSCH,2.5%;EQ 1.2% BASE,2,8288434,2029-08-05,,Y,U-818,2014-12-03
50819,N,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,,,TOPICAL,ACANYA,BAUSCH,2.5%;EQ 1.2% BASE,2,8288434,2029-08-05,,Y,U-124,2014-12-03
22249,N,BENDAMUSTINE HYDROCHLORIDE,,,INTRAVENOUS,TREANDA,CEPHALON,25MG/VIAL,4,8791270,2026-01-12,,Y,U-1542,2014-12-09
50819,N,BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,,,TOPICAL,ACANYA,BAUSCH,2.5%;EQ 1.2% BASE,2,8288434,2029-08-05,,Y,U-134,2014-12-03
203565,N,FERRIC CARBOXYMALTOSE,,,INTRAVENOUS,INJECTAFER,AM REGENT,1GM IRON/20ML (50MG IRON/ML),1,8895612,2027-01-08,,,U-1620,2014-12-17
22304,N,TAPENTADOL HYDROCHLORIDE,,,ORAL,NUCYNTA,COLLEGIUM PHARM INC,EQ 50MG BASE,2,7994364,2025-06-27,Y,Y,U-931,
22309,N,TESTOSTERONE,GEL,METERED,TRANSDERMAL,ANDROGEL,BESINS HLTHCARE,1.62% (20.25MG/1.25GM ACTUATION),2,8466137,2026-10-12,,,U-1103,2013-06-24
22320,N,ADAPALENE; BENZOYL PEROXIDE,,,TOPICAL,EPIDUO,GALDERMA LABS LP,0.1%;2.5%,1,8080537,2027-07-18,,,U-1078,2011-12-21
22320,N,ADAPALENE; BENZOYL PEROXIDE,,,TOPICAL,EPIDUO,GALDERMA LABS LP,0.1%;2.5%,1,8129362,2027-07-18,,,U-1078,2012-04-04
22328,N,ZOLPIDEM TARTRATE,,,SUBLINGUAL,INTERMEZZO,PURDUE PHARMA,1.75MG,1,7658945,2027-04-15,,Y,U-1194,2011-11-29
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,7619004,2028-12-03,,,U-1020,
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,7820681,2029-02-17,,,U-1020,
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,7915269,2029-02-17,,,U-1007,
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,7964647,2028-10-06,,,U-1007,2011-06-24
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,8093297,2028-10-06,,,U-1161,2012-01-13
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,8097655,2028-10-06,,,U-1020,2012-01-27
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,8415396,2028-10-06,,,U-1007,2013-05-08
22352,N,COLCHICINE,,,ORAL,COLCRYS,TAKEDA PHARMS USA,0.6MG,1,8440722,2029-02-17,,,U-1020,2013-06-10
21964,N,METHYLNALTREXONE BROMIDE,,,SUBCUTANEOUS,RELISTOR,SALIX PHARMS,8MG/0.4ML (8MG/0.4ML),1,8420663,2029-09-30,,,U-1185,2013-04-24
21964,N,METHYLNALTREXONE BROMIDE,,,SUBCUTANEOUS,RELISTOR,SALIX PHARMS,8MG/0.4ML (8MG/0.4ML),2,8420663,2029-09-30,,,U-1185,
21964,N,METHYLNALTREXONE BROMIDE,,,SUBCUTANEOUS,RELISTOR,SALIX PHARMS,8MG/0.4ML (8MG/0.4ML),3,8420663,2029-09-30,,,U-1185,
207533,N,ARIPIPRAZOLE LAUROXIL,SUSPENSION,EXTENDED RELEASE,INTRAMUSCULAR,ARISTADA,ALKERMES INC,441MG/1.6ML (275.63MG/ML),2,9452131,2035-03-19,,,U-2402,2016-10-05
203100,N,COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,,,ORAL,STRIBILD,GILEAD SCIENCES INC,150MG;150MG;200MG;300MG,1,8633219,2030-04-30,,Y,U-257,2014-01-24
207533,N,ARIPIPRAZOLE LAUROXIL,SUSPENSION,EXTENDED RELEASE,INTRAMUSCULAR,ARISTADA,ALKERMES INC,441MG/1.6ML (275.63MG/ML),3,9452131,2035-03-19,,,U-2402,2016-10-05
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,1,6949571,2025-05-23,Y,Y,U-2429,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,1,6949571,2025-05-23,Y,Y,U-2428,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,2,6949571,2025-05-23,Y,Y,U-2088,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,2,6949571,2025-05-23,Y,Y,U-2089,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,3,6949571,2025-05-23,Y,Y,U-2088,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,3,6949571,2025-05-23,Y,Y,U-106,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,3,6949571,2025-05-23,Y,Y,U-2429,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,3,6949571,2025-05-23,Y,Y,U-2428,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,4,6949571,2025-05-23,Y,Y,U-2428,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,4,6949571,2025-05-23,Y,Y,U-2089,2012-11-19
211288,N,DACOMITINIB,,,ORAL,VIZIMPRO,PFIZER,15MG,1,8623883,2025-05-05,,,U-1403,2018-10-25
209305,N,HYDROGEN PEROXIDE,,,TOPICAL,ESKATA,ACLARIS,0.4,1,10098910,2035-04-21,,Y,U-2205,2018-10-25
211288,N,DACOMITINIB,,,ORAL,VIZIMPRO,PFIZER,15MG,3,8623883,2025-05-05,,,U-1403,2018-10-25
210365,N,CANNABIDIOL,,,ORAL,EPIDIOLEX,JAZZ PHARMS RES,100MG/ML,1,9956186,2035-06-17,,,U-2426,2018-10-25
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,5,6949571,2025-05-23,Y,Y,U-2428,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,5,6949571,2025-05-23,Y,Y,U-2088,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,5,6949571,2025-05-23,Y,Y,U-2429,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,5,6949571,2025-05-23,Y,Y,U-2089,2012-11-19
210365,N,CANNABIDIOL,,,ORAL,EPIDIOLEX,JAZZ PHARMS RES,100MG/ML,1,10092525,2035-06-17,,,U-2427,2018-10-25
210365,N,CANNABIDIOL,,,ORAL,EPIDIOLEX,JAZZ PHARMS RES,100MG/ML,1,9956183,2035-06-17,,,U-2422,2018-10-25
210365,N,CANNABIDIOL,,,ORAL,EPIDIOLEX,JAZZ PHARMS RES,100MG/ML,1,9949937,2035-06-17,,,U-2421,2018-10-25
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,6,6949571,2025-05-23,Y,Y,U-2088,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,6,6949571,2025-05-23,Y,Y,U-2089,2012-11-19
202834,N,PERAMPANEL,,,ORAL,FYCOMPA,CATALYST PHARMS,2MG,6,6949571,2025-05-23,Y,Y,U-106,2012-11-19
206073,N,EMPAGLIFLOZIN; LINAGLIPTIN,,,ORAL,GLYXAMBI,BOEHRINGER INGELHEIM,10MG;5MG,1,9173859,2027-05-04,,Y,U-1772,2015-12-02
203634,N,BUDESONIDE,TABLET,EXTENDED RELEASE,ORAL,UCERIS,SALIX,9MG,1,9192581,2031-09-07,,Y,U-1325,2015-12-03
207533,N,ARIPIPRAZOLE LAUROXIL,SUSPENSION,EXTENDED RELEASE,INTRAMUSCULAR,ARISTADA,ALKERMES INC,441MG/1.6ML (275.63MG/ML),3,9193685,2033-10-24,,Y,U-543,2015-12-09
22030,N,FESOTERODINE FUMARATE,TABLET,EXTENDED RELEASE,ORAL,TOVIAZ,PFIZER,4MG,1,8088398,2027-06-07,,Y,U-913,
207533,N,ARIPIPRAZOLE LAUROXIL,SUSPENSION,EXTENDED RELEASE,INTRAMUSCULAR,ARISTADA,ALKERMES INC,441MG/1.6ML (275.63MG/ML),1,9193685,2033-10-24,,Y,U-543,2015-12-09
22044,N,METFORMIN HYDROCHLORIDE; SITAGLIPTIN PHOSPHATE,,,ORAL,JANUMET,MSD SUB MERCK,1GM;EQ 50MG BASE,1,8414921,2028-07-21,,Y,U-1036,2013-04-09
22048,N,TRIAMCINOLONE ACETONIDE,,,INTRAVITREAL,TRIESENCE,HARROW EYE,40MG/ML (40MG/ML),1,8211880,2029-03-10,,,U-1258,2012-08-06
22067,N,PREDNISOLONE ACETATE,,,ORAL,FLO-PRED,TARO,EQ 5MG BASE/5ML,1,7799331,2028-10-11,,Y,U-1068,2012-04-16
22067,N,PREDNISOLONE ACETATE,,,ORAL,FLO-PRED,TARO,EQ 5MG BASE/5ML,2,7799331,2028-10-11,,Y,U-139,
22399,N,GABAPENTIN ENACARBIL,TABLET,EXTENDED RELEASE,ORAL,HORIZANT,AZURITY,300MG,2,8114909,2026-04-11,,,U-1231,
22410,N,BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,,,"BUCCAL, SUBLINGUAL",SUBOXONE,INDIVIOR,EQ 2MG BASE;EQ 0.5MG BASE,2,8475832,2030-03-26,,Y,U-1411,
22411,N,TRAZODONE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,OLEPTRO,ANGELINI PHARMA,150MG,1,7829120,2027-03-27,,Y,U-796,2010-12-06
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,1,7569612,2027-08-20,,,U-1000,
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,1,7741374,2027-08-20,,,U-1061,
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,2,7741373,2027-08-20,,,U-1059,
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,2,7741374,2027-08-20,,,U-1061,
22418,N,FENOFIBRIC ACID,,,ORAL,FIBRICOR,ATHENA,35MG,2,7915247,2027-08-20,,,U-1000,
22425,N,DRONEDARONE HYDROCHLORIDE,,,ORAL,MULTAQ,SANOFI AVENTIS US,EQ 400MG BASE,1,8410167,2029-04-16,,,U-1387,2013-04-30
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,1,8173663,2025-03-15,,,U-1338,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,2,8173663,2025-03-15,,,U-1338,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,3,8173663,2025-03-15,,,U-1338,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,4,7807689,2028-06-27,Y,Y,U-1337,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,4,8173663,2025-03-15,,,U-1338,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,5,8173663,2025-03-15,,,U-1338,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,6,7807689,2028-06-27,Y,Y,U-1337,
22426,N,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,,,ORAL,OSENI,TAKEDA PHARMS USA,EQ,6,8173663,2025-03-15,,,U-1338,
22430,N,TRANEXAMIC ACID,,,ORAL,LYSTEDA,AMRING PHARMS,650MG,1,8022106,2025-03-04,,,U-1182,2011-09-20
22430,N,TRANEXAMIC ACID,,,ORAL,LYSTEDA,AMRING PHARMS,650MG,1,8273795,2025-03-04,,,U-1182,2012-09-25
22434,N,ARGATROBAN,,,INTRAVENOUS,ARGATROBAN IN SODIUM CHLORIDE,CIPLA,50MG/50ML,1,7687516,2027-09-26,,Y,U-1164,2011-07-20
22468,N,PRALATREXATE,,,INTRAVENOUS,FOLOTYN,ACROTECH BIOPHARMA,20MG/ML (20MG/ML),1,8299078,2025-05-31,,,U-1004,2012-12-19
22468,N,PRALATREXATE,,,INTRAVENOUS,FOLOTYN,ACROTECH BIOPHARMA,20MG/ML (20MG/ML),2,7622470,2025-05-31,,,U-1015,
22468,N,PRALATREXATE,,,INTRAVENOUS,FOLOTYN,ACROTECH BIOPHARMA,20MG/ML (20MG/ML),2,8299078,2025-05-31,,,U-1004,
22483,N,IMIQUIMOD,,,TOPICAL,ZYCLARA,BAUSCH,0.025,1,8236816,2029-12-11,,,U-68,2012-08-08
22483,N,IMIQUIMOD,,,TOPICAL,ZYCLARA,BAUSCH,0.025,2,8222270,2029-12-11,,,U-68,2012-07-18
22502,N,ADAPALENE,,,TOPICAL,DIFFERIN,GALDERMA LABS LP,0.001,1,7998467,2028-05-31,,Y,U-1078,2011-08-19
22519,N,FAMOTIDINE; IBUPROFEN,,,ORAL,DUEXIS,HORIZON,26.6MG;800MG,1,8067451,2026-07-18,,Y,U-1196,2011-11-30
50805,N,DOXYCYCLINE,,,ORAL,ORACEA,GALDERMA LABS LP,40MG,1,8206740,2025-12-24,,Y,U-925,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,2,7541347,2027-04-02,,,U-917,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,2,7919483,2027-03-07,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,2,8252776,2025-06-24,,,U-124,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,3,8268804,2025-06-24,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,4,7790705,2025-06-24,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,4,8252776,2025-06-24,,,U-124,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,5,7919483,2027-03-07,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,6,7919483,2027-03-07,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,7,7790705,2025-06-24,,,U-1078,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,7,8252776,2025-06-24,,,U-124,
50808,N,MINOCYCLINE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,SOLODYN,BAUSCH,EQ,8,8268804,2025-06-24,,,U-1078,
50818,N,DEXAMETHASONE; TOBRAMYCIN,,,OPHTHALMIC,TOBRADEX ST,HARROW EYE,0.05%;0.3%,1,7795316,2028-08-03,,Y,U-1082,2010-09-30
200327,N,CEFTAROLINE FOSAMIL,,,INTRAVENOUS,TEFLARO,ABBVIE,400MG/VIAL,2,8247400,2031-02-10,,Y,U-282,
200533,N,TAPENTADOL HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,NUCYNTA ER,COLLEGIUM PHARM INC,EQ 50MG BASE,2,7994364,2025-06-27,Y,Y,U-1178,
200533,N,TAPENTADOL HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,NUCYNTA ER,COLLEGIUM PHARM INC,EQ 50MG BASE,3,7994364,2025-06-27,Y,Y,U-1276,
200533,N,TAPENTADOL HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,NUCYNTA ER,COLLEGIUM PHARM INC,EQ 50MG BASE,4,7994364,2025-06-27,Y,Y,U-1276,
200533,N,TAPENTADOL HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,NUCYNTA ER,COLLEGIUM PHARM INC,EQ 50MG BASE,4,7994364,2025-06-27,Y,Y,U-1178,
