Appl_No,Appl_Type,Ingredient,Dosage,Form,Route,Trade_Name,Strength,Product_No,Exclusivity_Code,Exclusivity_Date
21825,N,DEFERIPRONE,,,ORAL,FERRIPROX,CHIESI,2,ODE-417,2028-04-30
21825,N,DEFERIPRONE,,,ORAL,FERRIPROX,CHIESI,2,ODE-420,2028-04-30
21825,N,DEFERIPRONE,,,ORAL,FERRIPROX,CHIESI,2,ODE-421,2028-04-30
21845,N,SILDENAFIL CITRATE,,,ORAL,REVATIO,VIATRIS,1,M-287,2026-01-31
21845,N,SILDENAFIL CITRATE,,,ORAL,REVATIO,VIATRIS,1,ODE-469,2030-01-31
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,1,ODE-241,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,1,ODE-245,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,2,ODE-241,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,2,ODE-245,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,3,ODE-241,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,3,ODE-245,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,4,ODE-241,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,4,ODE-245,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,5,ODE-241,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,5,ODE-245,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,6,ODE-241,2026-05-28
21880,N,LENALIDOMIDE,,,ORAL,REVLIMID,BRISTOL MYERS SQUIBB,6,ODE-245,2026-05-28
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,1,ODE-164,2024-11-09
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,1,ODE-225,2025-12-21
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,2,ODE-164,2024-11-09
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,2,ODE-225,2025-12-21
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,3,ODE-164,2024-11-09
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,3,ODE-225,2025-12-21
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,4,ODE-164,2024-11-09
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,4,ODE-225,2025-12-21
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,5,ODE-164,2024-11-09
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,5,ODE-225,2025-12-21
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,6,ODE-164,2024-11-09
21986,N,DASATINIB,,,ORAL,SPRYCEL,BRISTOL MYERS SQUIBB,6,ODE-225,2025-12-21
22023,N,FOSAPREPITANT DIMEGLUMINE,,,INTRAVENOUS,EMEND,MERCK AND CO INC,1,D-186,2025-05-02
22023,N,FOSAPREPITANT DIMEGLUMINE,,,INTRAVENOUS,EMEND,MERCK AND CO INC,2,D-186,2025-05-02
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,1,ODE-171,2025-03-22
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,1,ODE-172,2025-03-22
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,1,ODE-380,2028-09-23
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,2,ODE-171,2025-03-22
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,2,ODE-172,2025-03-22
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,2,ODE-380,2028-09-23
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,3,ODE-171,2025-03-22
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,3,ODE-172,2025-03-22
22068,N,NILOTINIB HYDROCHLORIDE,,,ORAL,TASIGNA,NOVARTIS,3,ODE-380,2028-09-23
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,1,I-939,2027-04-02
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,2,I-939,2027-04-02
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,3,I-939,2027-04-02
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,4,I-939,2027-04-02
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,5,I-939,2027-04-02
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,6,I-939,2027-04-02
22192,N,ILOPERIDONE,,,ORAL,FANAPT,VANDA PHARMS INC,7,I-939,2027-04-02
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,EXTENDED RELEASE,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,1,NPP,2024-07-22
22200,N,EXENATIDE SYNTHETIC,FOR SUSPENSION,EXTENDED RELEASE,SUBCUTANEOUS,BYDUREON,ASTRAZENECA AB,2,NPP,2024-07-22
22225,N,SUGAMMADEX SODIUM,,,INTRAVENOUS,BRIDION,MSD SUB MERCK,1,NPP,2027-12-12
22225,N,SUGAMMADEX SODIUM,,,INTRAVENOUS,BRIDION,MSD SUB MERCK,2,NPP,2027-12-12
22231,N,TERLIPRESSIN ACETATE,,,INTRAVENOUS,TERLIVAZ,MALLINCKRODT IRELAND,1,NCE,2027-09-14
22231,N,TERLIPRESSIN ACETATE,,,INTRAVENOUS,TERLIVAZ,MALLINCKRODT IRELAND,1,ODE-406,2029-09-14
22253,N,LACOSAMIDE,,,ORAL,VIMPAT,UCB INC,1,D-188,2026-04-28
22253,N,LACOSAMIDE,,,ORAL,VIMPAT,UCB INC,2,D-188,2026-04-28
22253,N,LACOSAMIDE,,,ORAL,VIMPAT,UCB INC,3,D-188,2026-04-28
22253,N,LACOSAMIDE,,,ORAL,VIMPAT,UCB INC,4,D-188,2026-04-28
22254,N,LACOSAMIDE,,,INTRAVENOUS,VIMPAT,UCB INC,1,D-188,2026-04-28
22255,N,LACOSAMIDE,,,ORAL,VIMPAT,UCB INC,1,D-188,2026-04-28
22271,N,ALOGLIPTIN BENZOATE,,,ORAL,NESINA,TAKEDA PHARMS USA,1,M-300,2026-07-27
22271,N,ALOGLIPTIN BENZOATE,,,ORAL,NESINA,TAKEDA PHARMS USA,2,M-300,2026-07-27
22271,N,ALOGLIPTIN BENZOATE,,,ORAL,NESINA,TAKEDA PHARMS USA,3,M-300,2026-07-27
22291,N,ELTROMBOPAG OLAMINE,,,ORAL,PROMACTA,NOVARTIS,1,ODE-210,2025-11-16
22291,N,ELTROMBOPAG OLAMINE,,,ORAL,PROMACTA,NOVARTIS,2,ODE-210,2025-11-16
22291,N,ELTROMBOPAG OLAMINE,,,ORAL,PROMACTA,NOVARTIS,3,ODE-210,2025-11-16
22291,N,ELTROMBOPAG OLAMINE,,,ORAL,PROMACTA,NOVARTIS,4,ODE-210,2025-11-16
22291,N,ELTROMBOPAG OLAMINE,,,ORAL,PROMACTA,NOVARTIS,5,ODE-210,2025-11-16
22304,N,TAPENTADOL HYDROCHLORIDE,,,ORAL,NUCYNTA,COLLEGIUM PHARM INC,1,NPP,2026-07-03
22304,N,TAPENTADOL HYDROCHLORIDE,,,ORAL,NUCYNTA,COLLEGIUM PHARM INC,2,NPP,2026-07-03
22304,N,TAPENTADOL HYDROCHLORIDE,,,ORAL,NUCYNTA,COLLEGIUM PHARM INC,3,NPP,2026-07-03
22335,N,TECHNETIUM TC-99M LABELED CARBON,,,INHALATION,TECHNEGAS KIT,CYCLOMEDICA,1,NP,2026-09-29
22348,N,IBUPROFEN,,,INTRAVENOUS,CALDOLOR,CUMBERLAND PHARMS,1,NPP,2026-05-11
22348,N,IBUPROFEN,,,INTRAVENOUS,CALDOLOR,CUMBERLAND PHARMS,2,NPP,2026-05-11
22348,N,IBUPROFEN,,,INTRAVENOUS,CALDOLOR,CUMBERLAND PHARMS,3,NPP,2026-05-11
22372,N,MAGNESIUM SULFATE; POTASSIUM SULFATE; SODIUM SULFATE,,,ORAL,SUPREP BOWEL PREP KIT,BRAINTREE LABS,1,ODE-315,2027-08-05
22388,N,KETOTIFEN FUMARATE,,,OPHTHALMIC,ACUVUE THERAVISION WITH KETOTIFEN,JOHNSON JOHNSON VISN,1,NP,2025-02-25
22406,N,RIVAROXABAN,,,ORAL,XARELTO,JANSSEN PHARMS,1,I-867,2024-08-23
22406,N,RIVAROXABAN,,,ORAL,XARELTO,JANSSEN PHARMS,2,I-867,2024-08-23
22406,N,RIVAROXABAN,,,ORAL,XARELTO,JANSSEN PHARMS,3,I-867,2024-08-23
22406,N,RIVAROXABAN,,,ORAL,XARELTO,JANSSEN PHARMS,4,I-867,2024-08-23
22433,N,TICAGRELOR,,,ORAL,BRILINTA,ASTRAZENECA,1,M-283,2025-05-09
22433,N,TICAGRELOR,,,ORAL,BRILINTA,ASTRAZENECA,2,M-283,2025-05-09
22473,N,SILDENAFIL CITRATE,,,INTRAVENOUS,REVATIO,VIATRIS,1,M-287,2026-01-31
22496,N,BUPIVACAINE,INJECTABLE,LIPOSOMAL,INJECTION,EXPAREL,PACIRA PHARMS INC,1,I-929,2026-11-09
22496,N,BUPIVACAINE,INJECTABLE,LIPOSOMAL,INJECTION,EXPAREL,PACIRA PHARMS INC,2,I-929,2026-11-09
22562,N,CARGLUMIC ACID,TABLET,FOR SUSPENSION,ORAL,CARBAGLU,RECORDATI RARE,1,ODE-345,2028-01-22
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,1,M-308,2027-09-13
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,1,NPP,2025-06-24
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,2,M-308,2027-09-13
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,2,NPP,2025-06-24
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,3,M-308,2027-09-13
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,3,NPP,2025-06-24
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,4,M-308,2027-09-13
22580,N,PHENTERMINE HYDROCHLORIDE; TOPIRAMATE,CAPSULE,EXTENDED RELEASE,ORAL,QSYMIA,VIVUS LLC,4,NPP,2025-06-24
50708,N,TACROLIMUS,,,ORAL,PROGRAF,ASTELLAS,1,ODE-294,2025-05-24
50708,N,TACROLIMUS,,,ORAL,PROGRAF,ASTELLAS,1,ODE-360,2028-07-16
50708,N,TACROLIMUS,,,ORAL,PROGRAF,ASTELLAS,2,ODE-294,2025-05-24
50708,N,TACROLIMUS,,,ORAL,PROGRAF,ASTELLAS,2,ODE-360,2028-07-16
50708,N,TACROLIMUS,,,ORAL,PROGRAF,ASTELLAS,3,ODE-294,2025-05-24
50708,N,TACROLIMUS,,,ORAL,PROGRAF,ASTELLAS,3,ODE-360,2028-07-16
50709,N,TACROLIMUS,,,INJECTION,PROGRAF,ASTELLAS,1,ODE-294,2025-05-24
50709,N,TACROLIMUS,,,INJECTION,PROGRAF,ASTELLAS,1,ODE-360,2028-07-16
50794,N,AZACITIDINE,,,"INTRAVENOUS, SUBCUTANEOUS",VIDAZA,BRISTOL-MYERS,1,I-889,2025-05-20
50794,N,AZACITIDINE,,,"INTRAVENOUS, SUBCUTANEOUS",VIDAZA,BRISTOL-MYERS,1,ODE-399,2029-05-20
201280,N,LINAGLIPTIN,,,ORAL,TRADJENTA,BOEHRINGER INGELHEIM,1,M-295,2026-06-20
201281,N,LINAGLIPTIN; METFORMIN HYDROCHLORIDE,,,ORAL,JENTADUETO,BOEHRINGER INGELHEIM,1,M-295,2026-06-20
201281,N,LINAGLIPTIN; METFORMIN HYDROCHLORIDE,,,ORAL,JENTADUETO,BOEHRINGER INGELHEIM,2,M-295,2026-06-20
201281,N,LINAGLIPTIN; METFORMIN HYDROCHLORIDE,,,ORAL,JENTADUETO,BOEHRINGER INGELHEIM,3,M-295,2026-06-20
201292,N,AFATINIB DIMALEATE,,,ORAL,GILOTRIF,BOEHRINGER INGELHEIM,1,M-276,2025-04-07
201292,N,AFATINIB DIMALEATE,,,ORAL,GILOTRIF,BOEHRINGER INGELHEIM,1,ODE-230,2025-01-12
201292,N,AFATINIB DIMALEATE,,,ORAL,GILOTRIF,BOEHRINGER INGELHEIM,2,M-276,2025-04-07
201292,N,AFATINIB DIMALEATE,,,ORAL,GILOTRIF,BOEHRINGER INGELHEIM,2,ODE-230,2025-01-12
201292,N,AFATINIB DIMALEATE,,,ORAL,GILOTRIF,BOEHRINGER INGELHEIM,3,M-276,2025-04-07
201292,N,AFATINIB DIMALEATE,,,ORAL,GILOTRIF,BOEHRINGER INGELHEIM,3,ODE-230,2025-01-12
201532,N,ERIBULIN MESYLATE,,,INTRAVENOUS,HALAVEN,EISAI INC,1,M-280,2025-09-13
201699,N,FIDAXOMICIN,,,ORAL,DIFICID,CUBIST PHARMS LLC,1,ODE-367,2027-01-24
201848,N,MELPHALAN HYDROCHLORIDE,,,INTRA-ARTERIAL,HEPZATO,DELCATH SYSTEMS INC,1,NP,2026-08-14
201848,N,MELPHALAN HYDROCHLORIDE,,,INTRA-ARTERIAL,HEPZATO,DELCATH SYSTEMS INC,1,ODE-438,2030-08-14
202049,N,MANNITOL,,,INHALATION,BRONCHITOL,PHARMAXIS EUROPE,1,ODE-327,2027-10-30
202103,A,DASATINIB,,,ORAL,DASATINIB,APOTEX,1,PC,2025-03-02
202103,A,DASATINIB,,,ORAL,DASATINIB,APOTEX,2,PC,2025-03-02
202103,A,DASATINIB,,,ORAL,DASATINIB,APOTEX,3,PC,2025-03-02
202103,A,DASATINIB,,,ORAL,DASATINIB,APOTEX,4,PC,2025-03-02
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,1,I-872,2024-09-22
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,1,M-285,2025-12-19
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,1,ODE-238,2026-05-24
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,1,ODE-373,2028-09-22
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,2,I-872,2024-09-22
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,2,M-285,2025-12-19
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,2,ODE-238,2026-05-24
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,2,ODE-373,2028-09-22
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,3,M-285,2025-12-19
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,3,ODE-238,2026-05-24
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,3,ODE-373,2028-09-22
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,4,M-285,2025-12-19
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,4,ODE-238,2026-05-24
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,4,ODE-373,2028-09-22
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,5,M-285,2025-12-19
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,5,ODE-238,2026-05-24
202192,N,RUXOLITINIB PHOSPHATE,,,ORAL,JAKAFI,INCYTE CORP,5,ODE-373,2028-09-22
202276,N,AVANAFIL,,,ORAL,STENDRA,METUCHEN PHARMS,1,M-282,2025-10-18
202276,N,AVANAFIL,,,ORAL,STENDRA,METUCHEN PHARMS,2,M-282,2025-10-18
202276,N,AVANAFIL,,,ORAL,STENDRA,METUCHEN PHARMS,3,M-282,2025-10-18
202293,N,DAPAGLIFLOZIN,,,ORAL,FARXIGA,ASTRAZENECA AB,1,M-298,2026-05-08
202293,N,DAPAGLIFLOZIN,,,ORAL,FARXIGA,ASTRAZENECA AB,1,NPP,2027-06-12
202293,N,DAPAGLIFLOZIN,,,ORAL,FARXIGA,ASTRAZENECA AB,2,M-298,2026-05-08
202293,N,DAPAGLIFLOZIN,,,ORAL,FARXIGA,ASTRAZENECA AB,2,NPP,2027-06-12
202408,N,ACYCLOVIR,,,OPHTHALMIC,AVACLYR,FERA PHARMS LLC,1,ODE-235,2026-03-29
202570,N,CRIZOTINIB,,,ORAL,XALKORI,PF PRISM CV,1,I-897,2025-07-14
202570,N,CRIZOTINIB,,,ORAL,XALKORI,PF PRISM CV,1,ODE-328,2028-01-14
202570,N,CRIZOTINIB,,,ORAL,XALKORI,PF PRISM CV,1,ODE-407,2029-07-14
202570,N,CRIZOTINIB,,,ORAL,XALKORI,PF PRISM CV,2,I-897,2025-07-14
202570,N,CRIZOTINIB,,,ORAL,XALKORI,PF PRISM CV,2,ODE-328,2028-01-14
202570,N,CRIZOTINIB,,,ORAL,XALKORI,PF PRISM CV,2,ODE-407,2029-07-14
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,1,I-894,2025-06-22
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,1,I-908,2026-03-16
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,1,ODE-182,2025-04-30
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,1,ODE-183,2025-05-04
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,1,ODE-428,2030-03-16
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,2,I-894,2025-06-22
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,2,I-908,2026-03-16
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,2,ODE-182,2025-04-30
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,2,ODE-183,2025-05-04
202806,N,DABRAFENIB MESYLATE,,,ORAL,TAFINLAR,NOVARTIS,2,ODE-428,2030-03-16
202811,N,LINACLOTIDE,,,ORAL,LINZESS,ABBVIE,1,I-921,2026-06-12
202811,N,LINACLOTIDE,,,ORAL,LINZESS,ABBVIE,3,I-921,2026-06-12
203094,N,COBICISTAT,,,ORAL,TYBOST,GILEAD SCIENCES INC,1,ODE-260,2026-08-22
203109,N,SILDENAFIL CITRATE,,,ORAL,REVATIO,VIATRIS,1,M-287,2026-01-31
203180,A,DASATINIB,,,ORAL,DASATINIB,APOTEX,1,PC,2025-03-02
203180,A,DASATINIB,,,ORAL,DASATINIB,APOTEX,2,PC,2025-03-02
203188,N,IVACAFTOR,,,ORAL,KALYDECO,VERTEX PHARMS,1,ODE-199,2025-08-15
203188,N,IVACAFTOR,,,ORAL,KALYDECO,VERTEX PHARMS,1,ODE-338,2027-12-21
203214,N,TOFACITINIB CITRATE,,,ORAL,XELJANZ,PF PRISM CV,1,M-14,2028-02-21
203255,N,PASIREOTIDE PAMOATE,,,INTRAMUSCULAR,SIGNIFOR LAR KIT,RECORDATI RARE,1,ODE-268,2025-06-29
203255,N,PASIREOTIDE PAMOATE,,,INTRAMUSCULAR,SIGNIFOR LAR KIT,RECORDATI RARE,2,ODE-268,2025-06-29
203255,N,PASIREOTIDE PAMOATE,,,INTRAMUSCULAR,SIGNIFOR LAR KIT,RECORDATI RARE,3,ODE-268,2025-06-29
203255,N,PASIREOTIDE PAMOATE,,,INTRAMUSCULAR,SIGNIFOR LAR KIT,RECORDATI RARE,4,ODE-268,2025-06-29
203255,N,PASIREOTIDE PAMOATE,,,INTRAMUSCULAR,SIGNIFOR LAR KIT,RECORDATI RARE,5,ODE-268,2025-06-29
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,1,I-923,2026-09-26
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,1,ODE-163,2024-12-19
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,1,ODE-444,2030-09-26
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,2,I-923,2026-09-26
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,2,ODE-163,2024-12-19
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,2,ODE-444,2030-09-26
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,3,I-923,2026-09-26
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,3,ODE-163,2024-12-19
203341,N,BOSUTINIB MONOHYDRATE,,,ORAL,BOSULIF,PF PRISM CV,3,ODE-444,2030-09-26
203389,N,CYSTEAMINE BITARTRATE,CAPSULE,DELAYED RELEASE,ORAL,PROCYSBI,HORIZON,1,ODE-162,2024-12-22
203389,N,CYSTEAMINE BITARTRATE,CAPSULE,DELAYED RELEASE,ORAL,PROCYSBI,HORIZON,2,ODE-162,2024-12-22
203414,N,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,,,ORAL,KAZANO,TAKEDA PHARMS USA,1,M-300,2026-07-27
203414,N,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,,,ORAL,KAZANO,TAKEDA PHARMS USA,2,M-300,2026-07-27
203415,N,ENZALUTAMIDE,,,ORAL,XTANDI,ASTELLAS,1,I-926,2026-11-17
203441,N,TEDUGLUTIDE,,,SUBCUTANEOUS,GATTEX KIT,TAKEDA PHARMS USA,1,ODE-240,2026-05-16
203469,N,PONATINIB HYDROCHLORIDE,,,ORAL,ICLUSIG,TAKEDA PHARMS USA,1,I-934,2027-03-19
203469,N,PONATINIB HYDROCHLORIDE,,,ORAL,ICLUSIG,TAKEDA PHARMS USA,1,ODE-472,2031-03-19
203469,N,PONATINIB HYDROCHLORIDE,,,ORAL,ICLUSIG,TAKEDA PHARMS USA,2,I-934,2027-03-19
203469,N,PONATINIB HYDROCHLORIDE,,,ORAL,ICLUSIG,TAKEDA PHARMS USA,2,ODE-472,2031-03-19
203469,N,PONATINIB HYDROCHLORIDE,,,ORAL,ICLUSIG,TAKEDA PHARMS USA,3,I-934,2027-03-19
